z,layer,,
-2,-6.54378776339E-21,2,6.54378776339E-21
-1.9,-8.07751737215E-21,1.9,8.07751737215E-21
-1.8,-1.00194868266E-20,1.8,1.00194868266E-20
-1.7,-1.24728864741E-20,1.7,1.24728864741E-20
-1.6,-1.55755498526E-20,1.6,1.55755498526E-20
-1.5,-1.94860200123E-20,1.5,1.94860200123E-20
-1.4,-2.43718543762E-20,1.4,2.43718543762E-20
-1.3,-3.03483855044E-20,1.3,3.03483855044E-20
-1.2,-3.74143117633E-20,1.2,3.74143117633E-20
-1.1,-4.50754191367E-20,1.1,4.50754191367E-20
-1,-5.20749233875E-20,1,5.20749233875E-20
-0.9,-5.49931006757E-20,0.9,5.49931006757E-20
-0.8,-4.63293876014E-20,0.8,4.63293876014E-20
-0.7,-1.02328673168E-20,0.7,1.02328673168E-20
